id	title	artists	composers	album	genre	fileName
1074055878	Tình Hu?	Long Nh?t	Nguy?n Ng?c Th?ch	Lá Th? Mi?n Trung	Nh?c Dân Ca - Quê H??ng	3587875674166453010.mp3
1074283576	??ng	Prophecy		?ôi Cánh Vô Hình	Rock Vi?t	3841153759730178934.mp3
1073974687	??t N??c	Tr?ng T?n		Giai ?i?u T? Qu?c	Nh?c Cách M?ng	4917890363306241532.mp3
1073961716	Ti?n ??a	Quang Linh		N?a ?êm Ngoài Ph?	Nh?c Tr? Tình	4662960036241329363.mp3
1075461909	Awaken (Live Hòa ?m Ánh Sáng 2016)	DJ Tít		Hòa Âm Ánh Sáng - The Remix 2016 (T?p 3) 	Nh?c Dance	2852495914357638197.mp3
1073952692	Hò Gi?t Ch? Qu?ng Ngãi	Nh?t Sinh		Hát Ru & Hò Vi?t Nam Vol.1  	Nh?c Tr? Tình	2199204517671627485.mp3
1073969296	?àn Chim Vi?t	M? L?	V?n Cao	V?n Cao - Tr?nh Công S?n	Nh?c Tr? Tình	7452675828945290779.mp3
1073833144	Bi?t Ly	Thu Hà	Dzoãn M?n	Nh?ng Tình Khúc V??t Th?i Gian Vol 1	Nh?c Tr? Tình	4893705583693206951.mp3
1073794127	Ngày X?a Hoàng Th?	?oan Trang	Ph?m Duy	??a Em Tìm ??ng Hoa Vàng	Nh?c Tr? Tình	3566290406345374562.mp3
1073961627	Nghe Em Hát Còn Duyên	Thu Hi?n		Nh?p C?u Duyên Quê	Nh?c Dân Ca - Quê H??ng	7714181609216120557.mp3
1073875832	Em ?i N?i ?y	Jimmi Jc Nguy?n		Tình ??c Bi?t MTV 14	Nh?c Tr? Tình	8872215379765810616.mp3
1075540748	Phút Cu?i	Hòa T?u	Lam Ph??ng	Yêu M?t Mình	Nh?c Không L?i	2366277034183287520.mp3
1073939121	S?i Nh? S?i Th??ng	Uyên Trang	Phan Hu?nh ?i?u	Dòng Sông Và Ti?ng Hát 	Nh?c Cách M?ng	5083356192485342006.mp3
1073998096	Ph? Nghèo	Tr?n Thu Hà		S?c Màu Tình Ca	Nh?c Tr? Tình	975754075346000675.mp3
1073833204	Th??ng V? Mi?n Trung	Quang Linh	Minh K?	Nh?ng Tình Khúc V??t Th?i Gian Vol 8	Nh?c Tr? Tình	5404877381382858309.mp3
1073797974	Su?i M?	??c Tu?n	V?n Cao	Ti?ng Hát Tr??ng Chi	Nh?c Tr? Tình	3281447784023187929.mp3
1075486456	D?a (Live Hòa Âm Ánh Sáng 2016)	Maya		Hòa Âm Ánh Sáng - The Remix 2016 (T?p 10)	Nh?c Dance	2365573048059435703.mp3
1073934652	H??ng Ng?c Lan	M? Linh		10 N?m Làn Sóng Xanh - CD2	Nh?c Tr? Tình	2695957002907307839.mp3
1073935606	N?u ??i Không Có Anh	Tài Linh		Tình Xuân 3	Nh?c Tr? Tình	7542265684035036544.mp3
1073961442	D?u Chân K? Ni?m	?ông ?ào		Mãi Là Em	Nh?c Tr? Tình	8788616802367379448.mp3
1075072302	??ng Ng?i Yên Trong Góc T?i	Bé B?o Kh??ng	Võ Thi?n Thanh	Bay Cùng Ánh Sao	Nh?c Thi?u Nhi	659674622393537994.mp3
1073829736	Chào Sông Mã Anh Hùng	Tr?ng T?n	Xuân Giao	Vi?t Nam T? Qu?c Tôi CD1	Nh?c Tr? Tình	6441474015821862003.mp3
1075427493	Tr?ng Ng?c	Various Artists	H?ng X??ng Long	M?ng Vàng Son	Nh?c Không L?i	3821313004324955074.mp3
1074208778	T? S? Tr??c Bi?n	Tr?ng Th?y		Nh? V? B?n X?a	Nh?c Dân Ca - Quê H??ng	5079177944522255131.mp3
1074334251	Tía Em Má Em	Qu?nh Giang	V?n Luông	Ch? Có M?t Trên ??i	Nh?c Thi?u Nhi	2119795540422778397.mp3
1073926376	M?t Ngày Bình Yên	M? L?		V? V?i Em	Nh?c Tr? Tình	1667676352271286553.mp3
1073837622	Khúc M?a Bu?n	Hoàng Thanh	Tr??ng Huy	Gi?c M? X?a	Nh?c Tr? Tình	7553873697855845304.mp3
1075445817	Craze (Tinyc Remix)	Châu ??ng Khoa	Châu ??ng Khoa	Craze (Debut Single)	Nh?c Dance	5492745036796528772.mp3
1073968513	N?i Bu?n Hoa Ph??ng	Kh? Tú		H?p Khúc Tình Yêu 3	Nh?c Tr? Tình	4465479717696444209.mp3
1075540774	Tôi Mu?n	Hòa T?u	Lê H?u Hà	Yêu M?t Mình	Nh?c Không L?i	8881888591537503529.mp3
1075311015	L?u Chí V? Nonstop	L?u Chí V?	Phi B?ng 	L?u Chí V? Nonstop	Nh?c Dance	576742478350096631.mp3
